"Designator";"Comment";"Footprint";"Center-X(mm)";"Center-Y(mm)";"Rotation";"Layer"
"L3";"47µH 5.0A";"SMD_Inductor_13.8x12.6x6.5";"30.3750";"16.5500";"90";"BottomLayer"
"L4";"47µH 5.0A";"SMD_Inductor_13.8x12.6x6.5";"30.3750";"-16.5500";"90";"BottomLayer"
"L1_1";"680µH 270mA";"SMD_Inductor_7x7x4.5";"99.2530";"33.1825";"0";"BottomLayer"
"L1_2";"680µH 270mA";"SMD_Inductor_7x7x4.5";"99.2500";"18.4375";"0";"BottomLayer"
"L1_3";"680µH 270mA";"SMD_Inductor_7x7x4.5";"99.2460";"3.7075";"0";"BottomLayer"
"L1_4";"680µH 270mA";"SMD_Inductor_7x7x4.5";"99.2500";"-11.0625";"0";"BottomLayer"
"L1_5";"680µH 270mA";"SMD_Inductor_7x7x4.5";"99.2460";"-25.8175";"0";"BottomLayer"
"L1_6";"680µH 270mA";"SMD_Inductor_7x7x4.5";"99.2500";"-40.5625";"0";"BottomLayer"
"L2_1";"NP";"SMD_Inductor_7x7x4.5_NP";"99.2530";"40.5575";"0";"BottomLayer"
"L2_2";"NP";"SMD_Inductor_7x7x4.5_NP";"99.2500";"25.8125";"0";"BottomLayer"
"L2_3";"NP";"SMD_Inductor_7x7x4.5_NP";"99.2460";"11.0825";"0";"BottomLayer"
"L2_4";"NP";"SMD_Inductor_7x7x4.5_NP";"99.2500";"-3.6875";"0";"BottomLayer"
"L2_5";"NP";"SMD_Inductor_7x7x4.5_NP";"99.2460";"-18.4425";"0";"BottomLayer"
"L2_6";"NP";"SMD_Inductor_7x7x4.5_NP";"99.2500";"-33.1875";"0";"BottomLayer"
"P1";"Green";"SMD_LED_0603";"65.1950";"7.3500";"270";"BottomLayer"
"P2";"Green";"SMD_LED_0603";"63.9250";"7.3500";"270";"BottomLayer"
"P3";"Green";"SMD_LED_0603";"62.6550";"7.3500";"270";"BottomLayer"
"P4";"Green";"SMD_LED_0603";"61.3850";"7.3500";"270";"BottomLayer"
"P5";"Green";"SMD_LED_0603";"60.1150";"7.3500";"270";"BottomLayer"
"P6";"Green";"SMD_LED_0603";"58.8450";"7.3500";"270";"BottomLayer"
"P7";"Green";"SMD_LED_0603";"57.5750";"7.3500";"270";"BottomLayer"
"P8";"Green";"SMD_LED_0603";"56.3050";"7.3500";"270";"BottomLayer"
"P9";"WS2812B";"SMD_LED_WS2812B-5050";"248.2500";"36.8750";"90";"TopLayer"
"P10";"WS2812B";"SMD_LED_WS2812B-5050";"248.2500";"22.1250";"90";"TopLayer"
"P11";"WS2812B";"SMD_LED_WS2812B-5050";"248.2500";"7.3750";"90";"TopLayer"
"P12";"WS2812B";"SMD_LED_WS2812B-5050";"248.2500";"-7.3750";"90";"TopLayer"
"P13";"WS2812B";"SMD_LED_WS2812B-5050";"248.2500";"-22.1250";"90";"TopLayer"
"P14";"WS2812B";"SMD_LED_WS2812B-5050";"248.2500";"-36.8750";"90";"TopLayer"
"Q1_1";"MA40A16";"THT_Transducer_(MA40A16)";"115.7500";"36.8750";"270";"TopLayer"
"Q1_2";"MA40A16";"THT_Transducer_(MA40A16)";"107.2500";"22.1250";"270";"TopLayer"
"Q1_3";"MA40A16";"THT_Transducer_(MA40A16)";"115.7500";"7.3750";"270";"TopLayer"
"Q1_4";"MA40A16";"THT_Transducer_(MA40A16)";"107.2500";"-7.3750";"270";"TopLayer"
"Q1_5";"MA40A16";"THT_Transducer_(MA40A16)";"115.7500";"-22.1250";"270";"TopLayer"
"Q1_6";"MA40A16";"THT_Transducer_(MA40A16)";"107.2500";"-36.8750";"270";"TopLayer"
"Q2_1";"MA40A16";"THT_Transducer_(MA40A16)";"132.7500";"36.8750";"270";"TopLayer"
"Q2_2";"MA40A16";"THT_Transducer_(MA40A16)";"124.2500";"22.1250";"270";"TopLayer"
"Q2_3";"MA40A16";"THT_Transducer_(MA40A16)";"132.7500";"7.3750";"270";"TopLayer"
"Q2_4";"MA40A16";"THT_Transducer_(MA40A16)";"124.2500";"-7.3750";"270";"TopLayer"
"Q2_5";"MA40A16";"THT_Transducer_(MA40A16)";"132.7500";"-22.1250";"270";"TopLayer"
"Q2_6";"MA40A16";"THT_Transducer_(MA40A16)";"124.2500";"-36.8750";"270";"TopLayer"
"Q3_1";"MA40A16";"THT_Transducer_(MA40A16)";"149.7500";"36.8750";"270";"TopLayer"
"Q3_2";"MA40A16";"THT_Transducer_(MA40A16)";"141.2500";"22.1250";"270";"TopLayer"
"Q3_3";"MA40A16";"THT_Transducer_(MA40A16)";"149.7500";"7.3750";"270";"TopLayer"
"Q3_4";"MA40A16";"THT_Transducer_(MA40A16)";"141.2500";"-7.3750";"270";"TopLayer"
"Q3_5";"MA40A16";"THT_Transducer_(MA40A16)";"149.7500";"-22.1250";"270";"TopLayer"
"Q3_6";"MA40A16";"THT_Transducer_(MA40A16)";"141.2500";"-36.8750";"270";"TopLayer"
"Q4_1";"MA40A16";"THT_Transducer_(MA40A16)";"166.7500";"36.8750";"270";"TopLayer"
"Q4_2";"MA40A16";"THT_Transducer_(MA40A16)";"158.2500";"22.1250";"270";"TopLayer"
"Q4_3";"MA40A16";"THT_Transducer_(MA40A16)";"166.7500";"7.3750";"270";"TopLayer"
"Q4_4";"MA40A16";"THT_Transducer_(MA40A16)";"158.2500";"-7.3750";"270";"TopLayer"
"Q4_5";"MA40A16";"THT_Transducer_(MA40A16)";"166.7500";"-22.1250";"270";"TopLayer"
"Q4_6";"MA40A16";"THT_Transducer_(MA40A16)";"158.2500";"-36.8750";"270";"TopLayer"
"Q5_1";"MA40A16";"THT_Transducer_(MA40A16)";"183.7500";"36.8750";"270";"TopLayer"
"Q5_2";"MA40A16";"THT_Transducer_(MA40A16)";"175.2500";"22.1250";"270";"TopLayer"
"Q5_3";"MA40A16";"THT_Transducer_(MA40A16)";"183.7500";"7.3750";"270";"TopLayer"
"Q5_4";"MA40A16";"THT_Transducer_(MA40A16)";"175.2500";"-7.3750";"270";"TopLayer"
"Q5_5";"MA40A16";"THT_Transducer_(MA40A16)";"183.7500";"-22.1250";"270";"TopLayer"
